nome,cognome,casata,materia,punti
Harry,Potter,Grifondoro,Difesa contro le Arti Oscure,95
Draco,Malfoy,Serpeverde,Pozioni,90
Hermione,Granger,Grifondoro,Pozioni,99
Hermione,Granger,Grifondoro,Aritmanzia,100
Luna,Lovegood,Corvonero,Erbologia,85
Ron,Weasley,Grifondoro,Difesa contro le Arti Oscure,75
Harry,Potter,Grifondoro,Trasfigurazione,85
Ron,Weasley,Grifondoro,Pozioni,70
Draco,Malfoy,Serpeverde,Trasfigurazione,76
Hermione,Granger,Grifondoro,Erbologia,88
Draco,Malfoy,Serpeverde,Difesa contro le Arti Oscure,82
Luna,Lovegood,Corvonero,Aritmanzia,92
Neville,Paciock,Grifondoro,Erbologia,95
Neville,Paciock,Grifondoro,Pozioni,60
Harry,Potter,Grifondoro,Pozioni,78
